ID,Gender,MaritalStatus,Education,CommuteDistance,PerformanceRating,PercentSalaryHike,MonthlyIncome,StockOptionLevel,CompanyProfit,Department,BusinessTravel,YearsWithCurrentManager,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,TrainingHoursLastYear,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,NumbersCompaniesWorked,WorkLifeBal,JobLevel,Attrition,ReasonToManager,ReasonInExitInterview
54,Female,Single,Graduate,1,4,10,57908,0,1,HR,0,1,0,1,3,5,4,0,1,3,2,Developer,Yes,Technology,Higher studies
55,Male,Single,Graduate,3,4,15,50706,0,-2,Product Management,0,0,0,4,3,5,3,0,0,3,5,Developer,No,,
56,Female,Married,Under-Graduate,1,5,13,48706,1,1,Training,1,2,0,5,5,5,5,1,3,4,1,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
57,Female,Single,Graduate,1,4,15,43890,1,-1,DevOps,0,0,0,4,3,4,2,0,0,2,5,Associate Developer,Yes,Technology,Higher studies
58,Female,Single,Graduate,3,4,13,44899,1,-1,People Management,0,1,1,3,2,5,3,1,2,1,1,Associate Developer,Yes,Repetitive task,Want Challenging task
59,Female,Single,Graduate,2,5,16,45573,1,0,People Management,0,2,0,2,1,4,8,3,3,2,1,Developer,Yes,Repetitive task,Want Challenging task
60,Female,Single,Graduate,1,5,15,59516,1,-2,Sales,1,0,1,3,1,5,4,0,1,4,3,Developer,Yes,Technology,Higher studies
61,Female,Married,Under-Graduate,2,3,10,45493,1,0,Sales,1,0,2,3,5,5,8,2,2,4,4,Developer,No,,
62,Male,Single,Graduate,1,5,18,41853,0,1,Testing,0,0,0,1,1,4,3,0,1,2,1,Associate Developer,Yes,Repetitive task,Want Challenging task
63,Female,Single,Graduate,1,4,18,57293,1,1,Sales,0,3,3,1,3,4,6,3,5,3,1,Developer,No,,
64,Male,Single,Graduate,2,3,13,47331,1,0,Public Relations,0,0,0,3,3,5,3,0,0,2,5,Associate Developer,No,,
65,Male,Single,Graduate,1,5,12,59388,0,1,Development,0,0,0,3,3,4,0,0,0,1,5,Developer,Yes,Repetitive task,Want Challenging task
66,Female,Single,Graduate,2,4,15,50300,1,0,Testing,1,1,1,2,5,5,6,0,2,4,4,Developer,Yes,Repetitive task,Want Challenging task
67,Male,Single,Graduate,1,4,16,59501,0,-1,HR,1,0,0,5,2,4,2,0,0,4,3,Developer,No,,
68,Female,Married,Graduate,2,3,20,44917,1,0,Development,0,0,0,3,1,5,2,0,0,1,5,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
69,Male,Single,Graduate,1,5,16,45921,0,0,Sales,0,0,0,5,5,2,0,0,0,1,5,Associate Developer,No,,
70,Female,Married,Graduate,2,3,14,49358,0,0,Public Relations,0,0,0,4,3,4,1,0,0,2,5,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
71,Female,Married,Graduate,1,3,10,56210,0,1,DevOps,1,1,2,2,5,5,8,2,4,2,5,Developer,No,,
72,Male,Married,Graduate,1,4,11,58818,0,0,DevOps,0,3,0,3,5,5,6,0,3,3,2,Developer,Yes,Repetitive task,Want Challenging task
73,Male,Single,Under-Graduate,1,5,14,47447,1,0,Public Relations,0,0,0,4,5,4,1,0,0,2,2,Associate Developer,Yes,Technology,Higher studies
74,Female,Single,Graduate,1,5,13,59606,0,-2,Training,1,0,0,2,5,5,5,0,2,4,3,Developer,Yes,Repetitive task,Want Challenging task
75,Male,Single,Graduate,3,3,10,47631,0,-1,Training,0,0,0,2,4,4,2,0,0,1,1,Developer,No,,
76,Female,Single,Graduate,1,4,15,49393,1,0,Public Relations,0,0,0,1,5,5,3,0,0,1,5,Associate Developer,No,,
77,Female,Single,Graduate,1,5,12,54217,1,0,Product Management,0,3,0,5,1,5,8,0,5,2,1,Developer,Yes,Technology,Higher studies
78,Male,Single,Graduate,2,4,14,42385,0,0,DevOps,0,0,0,3,1,3,2,0,0,1,5,Associate Developer,Yes,Repetitive task,Want Challenging task
79,Male,Single,Graduate,3,3,15,57813,1,0,Sales,0,1,0,3,2,5,7,1,2,4,1,Developer,No,,
80,Female,Married,Graduate,1,5,15,41682,0,-2,Development,0,0,0,1,1,5,0,0,0,1,3,Associate Developer,Yes,Repetitive task,Want Challenging task
81,Male,Single,Graduate,1,5,11,49215,1,0,Training,0,0,0,3,4,5,3,0,0,3,5,Developer,Yes,Repetitive task,Want Challenging task
82,Female,Single,Graduate,2,5,12,48303,1,-2,People Management,1,0,0,5,1,5,4,0,0,3,1,Developer,No,,
83,Male,Single,Under-Graduate,1,4,19,49100,1,-2,HR,0,0,0,5,3,2,2,0,0,2,3,Associate Developer,No,,
84,Female,Married,Graduate,1,5,12,46116,0,0,Sales,0,0,0,5,3,4,3,0,0,1,5,Associate Developer,No,,
85,Male,Single,Under-Graduate,1,5,11,56526,1,-2,Product Management,0,0,2,4,2,5,7,0,2,3,5,Developer,Yes,Technology,Higher studies
86,Female,Married,Graduate,1,2,16,55381,1,1,Product Management,1,1,0,5,5,3,5,0,1,1,3,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
87,Male,Married,Graduate,2,3,16,43294,1,-2,DevOps,0,0,0,1,1,4,3,0,0,2,1,Associate Developer,No,,
88,Female,Married,Graduate,1,5,14,47249,1,0,Consultancy,0,0,0,1,5,4,7,0,0,3,4,Developer,No,,
89,Female,Single,Graduate,1,5,12,44120,1,0,Public Relations,0,0,0,5,1,4,3,0,0,1,3,Associate Developer,No,,
90,Female,Single,Graduate,2,5,19,41201,1,1,Product Management,0,0,0,1,5,2,2,0,0,1,5,Associate Developer,No,,
91,Male,Single,Graduate,3,5,16,57866,1,0,Testing,1,1,2,3,1,5,7,0,2,2,4,Developer,Yes,Technology,Higher studies
92,Female,Married,Graduate,1,3,17,54528,1,-2,Consultancy,1,1,3,4,1,5,8,1,3,1,2,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
93,Female,Married,Graduate,1,4,17,47072,1,1,Development,0,0,0,5,1,2,0,0,0,1,3,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
94,Male,Single,Under-Graduate,1,4,20,48608,1,1,Testing,0,0,1,5,2,4,3,1,2,1,3,Associate Developer,No,,
95,Male,Single,Graduate,1,5,12,43245,1,-1,Development,0,0,0,3,3,4,0,0,0,1,5,Associate Developer,No,,
96,Male,Married,Under-Graduate,1,3,10,59433,0,-1,Development,0,0,0,5,1,5,1,0,0,2,2,Developer,No,,
97,Female,Single,Graduate,1,5,15,50528,1,1,People Management,1,0,1,1,1,5,8,0,1,2,5,Developer,Yes,Repetitive task,Want Challenging task
98,Female,Married,Graduate,1,2,16,52271,1,-1,Training,0,1,2,3,5,5,4,0,2,2,5,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
99,Male,Married,Graduate,1,5,13,54576,0,-1,Product Management,0,0,0,4,3,5,2,0,1,2,2,Developer,No,,
100,Female,Married,Graduate,1,4,11,52382,0,-1,Development,1,3,3,5,3,2,4,0,3,4,1,Developer,No,,
101,Male,Single,Graduate,1,3,16,54721,0,-2,Public Relations,0,0,1,1,5,4,8,0,1,1,2,Developer,No,,
102,Female,Single,Graduate,1,4,17,49327,0,-1,People Management,1,1,3,1,5,5,6,2,4,3,5,Developer,No,,
103,Female,Married,Graduate,1,4,16,45665,1,-1,Consultancy,0,0,0,4,1,5,1,0,0,2,3,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
104,Male,Single,Graduate,1,4,14,47321,0,1,Public Relations,0,0,0,1,5,4,3,0,0,2,4,Associate Developer,No,,
105,Female,Married,Graduate,1,3,17,50572,0,-1,Development,0,1,1,5,5,3,2,0,1,2,2,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
106,Female,Single,Graduate,1,5,12,44123,0,1,Training,0,1,0,1,3,5,3,2,2,1,1,Associate Developer,Yes,Technology,Higher studies
107,Male,Single,Graduate,2,3,11,50764,1,1,Training,0,1,0,3,3,5,4,0,1,3,1,Developer,No,,
108,Male,Single,Graduate,1,4,12,53106,0,-2,DevOps,0,0,0,1,2,4,0,0,0,1,2,Developer,Yes,Technology,Higher studies
109,Female,Married,Graduate,3,4,15,41473,0,0,Training,0,0,0,2,2,5,3,0,0,1,1,Associate Developer,No,,
110,Male,Married,Graduate,1,3,11,47397,0,0,Public Relations,0,0,0,5,4,5,1,0,0,3,1,Developer,No,,
111,Male,Married,Graduate,1,3,16,41159,1,1,Public Relations,0,0,0,2,4,2,3,0,2,1,1,Associate Developer,No,,
112,Male,Single,Graduate,1,4,11,48165,1,0,Sales,0,0,0,2,5,4,2,0,0,2,3,Developer,Yes,Repetitive task,Want Challenging task
113,Female,Single,Graduate,1,3,13,50026,0,-1,Testing,0,0,0,1,3,5,5,0,1,1,4,Developer,No,,
114,Female,Single,Graduate,1,4,14,40642,0,-1,DevOps,0,0,1,1,1,3,2,1,1,1,5,Associate Developer,No,,
115,Male,Single,Graduate,1,4,15,49576,0,0,Product Management,0,0,1,5,1,5,2,0,1,1,2,Associate Developer,No,,
116,Female,Single,Graduate,2,4,15,57458,1,-2,Consultancy,0,0,1,2,4,2,3,0,1,1,3,Developer,Yes,Repetitive task,Want Challenging task
117,Male,Single,Graduate,1,5,15,57694,0,0,Product Management,0,0,0,4,1,4,4,0,0,2,5,Developer,Yes,Technology,Higher studies
118,Female,Single,Graduate,1,5,19,40168,0,1,DevOps,0,0,0,5,2,4,2,0,0,2,5,Associate Developer,Yes,Technology,Higher studies
119,Female,Single,Graduate,1,4,17,42363,1,0,Training,0,0,0,5,5,4,0,0,0,1,3,Associate Developer,Yes,Technology,Higher studies
120,Female,Married,Under-Graduate,3,3,15,45595,0,-2,HR,0,0,0,5,3,5,2,1,1,4,5,Developer,No,,
121,Female,Single,Graduate,2,5,15,52250,0,1,DevOps,0,2,2,3,4,3,7,1,3,1,4,Developer,Yes,Repetitive task,Want Challenging task
122,Female,Married,Graduate,1,4,16,59570,1,1,People Management,1,1,0,4,1,2,6,1,2,3,5,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
123,Female,Single,Graduate,3,5,12,53409,1,-2,Development,1,1,0,2,1,4,6,1,2,2,4,Developer,No,,
124,Male,Single,Graduate,1,3,16,45077,1,1,Training,0,0,0,2,2,3,3,0,0,2,1,Associate Developer,No,,
125,Female,Single,Graduate,1,3,15,45849,0,0,Development,0,0,1,3,5,5,3,1,1,1,5,Associate Developer,No,,
126,Male,Single,Graduate,1,5,16,55871,0,0,Training,0,1,2,1,3,4,5,1,2,1,3,Developer,No,,
127,Female,Single,Graduate,1,5,16,48671,1,0,Testing,0,0,0,5,5,4,1,0,0,1,2,Associate Developer,No,,
128,Female,Single,Graduate,1,5,14,48369,1,1,Product Management,0,2,1,5,5,5,3,1,2,1,2,Associate Developer,Yes,Technology,Higher studies
129,Male,Single,Graduate,2,4,11,52534,0,0,Sales,0,0,0,3,5,4,6,0,0,4,5,Developer,Yes,Repetitive task,Want Challenging task
130,Female,Married,Graduate,2,5,18,49537,0,1,People Management,0,0,1,3,5,3,2,0,1,1,4,Associate Developer,Yes,Repetitive task,Want Challenging task
131,Female,Single,Graduate,1,4,17,42306,0,1,Sales,0,0,0,5,4,4,0,0,0,1,5,Associate Developer,No,,
132,Male,Married,Graduate,2,5,13,48785,1,-1,Testing,1,2,1,2,5,4,5,0,2,2,1,Developer,Yes,Repetitive task,Want Challenging task
133,Male,Single,Graduate,2,3,14,47907,1,0,Testing,0,0,0,3,1,5,1,0,0,2,1,Associate Developer,No,,
134,Male,Single,Graduate,1,5,14,56815,1,1,HR,1,0,0,4,5,4,2,0,0,1,1,Developer,No,,
135,Female,Single,Under-Graduate,1,4,10,57124,1,-1,People Management,0,0,0,1,4,4,3,1,1,2,1,Developer,Yes,Technology,Higher studies
136,Male,Single,Graduate,1,4,15,41786,0,-1,Development,0,0,0,5,1,5,2,0,1,2,2,Associate Developer,No,,
137,Male,Single,Graduate,3,5,15,55768,0,-2,DevOps,1,0,0,5,3,2,1,0,0,1,5,Developer,No,,
138,Female,Married,Graduate,1,5,10,59383,0,-2,Training,1,0,0,5,5,2,4,0,0,2,5,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
139,Male,Single,Graduate,2,5,12,53436,0,-1,DevOps,0,0,0,3,2,5,1,0,0,4,3,Developer,No,,
140,Female,Married,Graduate,1,4,18,59985,1,-2,Development,1,0,0,4,2,4,3,2,2,4,3,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
141,Male,Single,Graduate,1,5,12,42715,0,1,Development,0,0,0,1,4,2,3,0,0,2,3,Associate Developer,No,,
142,Female,Single,Graduate,2,4,11,59551,0,0,Development,1,0,0,3,4,3,2,0,0,4,3,Developer,No,,
143,Female,Married,Graduate,1,4,12,48010,0,1,Sales,0,0,0,3,1,3,0,0,0,1,5,Associate Developer,Yes,Repetitive task,Want Challenging task
144,Female,Single,Graduate,1,5,13,46775,1,1,People Management,0,0,1,1,1,3,3,1,2,2,2,Associate Developer,No,,
145,Female,Married,Graduate,1,4,17,50955,0,1,DevOps,1,2,0,4,1,2,4,1,2,2,2,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
146,Female,Married,Graduate,1,4,14,42685,1,-2,Sales,0,0,0,4,3,3,1,0,0,2,3,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
147,Female,Single,Graduate,1,5,18,49395,0,-1,Public Relations,0,0,0,3,5,3,1,0,0,1,4,Associate Developer,Yes,Repetitive task,Want Challenging task
148,Male,Single,Graduate,2,4,14,51699,0,0,Public Relations,1,1,0,5,5,4,5,0,1,3,4,Developer,Yes,Technology,Higher studies
149,Female,Single,Graduate,1,3,15,49972,0,-1,People Management,0,0,0,5,3,5,2,0,0,2,1,Associate Developer,No,,
150,Male,Single,Graduate,3,4,13,45314,1,0,Product Management,1,0,0,3,1,5,3,0,1,3,3,Developer,No,,
151,Female,Single,Graduate,1,4,15,43781,1,-1,Consultancy,0,0,0,3,5,5,0,0,0,1,1,Associate Developer,Yes,Technology,Higher studies
152,Male,Married,Graduate,1,5,18,45909,1,-1,DevOps,0,0,0,1,3,4,2,0,0,1,5,Associate Developer,Yes,Repetitive task,Want Challenging task
153,Female,Single,Graduate,2,4,12,41630,0,0,DevOps,0,0,1,3,4,5,3,0,1,1,5,Associate Developer,No,,
154,Male,Single,Graduate,1,5,12,46738,1,0,DevOps,0,0,0,5,1,4,1,0,0,2,1,Associate Developer,Yes,Technology,Higher studies
155,Female,Single,Graduate,2,4,14,54265,1,1,Public Relations,1,0,0,5,2,4,0,0,0,1,1,Developer,No,,
156,Male,Single,Graduate,1,3,13,58932,1,-1,Development,0,0,0,2,3,2,1,0,0,2,1,Developer,No,,
157,Male,Single,Under-Graduate,1,4,20,46717,1,-1,Development,0,0,0,3,1,3,0,0,0,1,5,Associate Developer,No,,
158,Male,Single,Graduate,1,4,18,48298,1,1,HR,0,0,0,5,5,4,0,0,0,1,1,Developer,No,,
159,Female,Single,Graduate,3,3,14,48638,0,-1,Public Relations,0,0,0,1,5,4,1,0,0,2,1,Associate Developer,No,,
160,Male,Single,Graduate,1,5,12,44086,0,-1,HR,0,0,0,1,5,5,2,0,0,2,5,Associate Developer,No,,
161,Female,Married,Graduate,1,4,15,47792,0,1,Testing,0,1,0,5,4,2,2,0,1,1,1,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
162,Female,Single,Graduate,3,5,11,49982,0,-1,Training,0,0,0,1,4,3,1,0,0,3,3,Developer,Yes,Technology,Higher studies
163,Male,Single,Graduate,1,4,13,51184,1,1,Product Management,1,0,0,3,5,5,1,0,0,2,3,Developer,Yes,Technology,Higher studies
164,Male,Married,Graduate,2,5,12,52301,1,-1,Development,1,0,0,3,4,3,8,0,1,3,2,Developer,No,,
165,Female,Married,Graduate,2,3,14,55463,0,-1,Consultancy,1,0,0,4,4,3,2,0,0,3,4,Developer,No,,
166,Female,Single,Graduate,1,4,19,44491,1,-2,Product Management,0,0,0,3,4,3,2,0,0,1,5,Associate Developer,Yes,Repetitive task,Want Challenging task
167,Female,Single,Graduate,2,5,13,43560,1,1,Consultancy,0,0,0,3,1,4,2,0,0,2,1,Associate Developer,Yes,Technology,Higher studies
168,Female,Single,Graduate,1,5,12,57456,1,0,Public Relations,0,1,0,3,2,3,5,1,1,1,5,Developer,Yes,Repetitive task,Want Challenging task
169,Female,Married,Under-Graduate,1,3,18,57682,0,0,HR,1,0,0,4,5,3,8,0,0,1,1,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
170,Male,Single,Graduate,1,3,20,47209,0,-1,Public Relations,0,0,0,5,5,5,1,0,0,1,4,Associate Developer,No,,
171,Female,Married,Under-Graduate,1,4,10,51694,0,0,Testing,0,0,0,2,2,3,7,0,0,1,2,Developer,Yes,Repetitive task,Want Challenging task
172,Male,Single,Graduate,1,4,14,52918,1,-2,Sales,0,0,1,1,2,2,8,1,2,3,2,Developer,No,,
173,Male,Single,Graduate,1,4,15,43949,1,-2,DevOps,0,0,0,3,1,4,1,0,0,2,5,Associate Developer,Yes,Repetitive task,Want Challenging task
174,Female,Single,Graduate,1,3,13,51982,0,0,Public Relations,1,0,0,2,1,3,3,0,1,3,1,Developer,No,,
175,Male,Single,Graduate,2,5,12,47627,1,0,Public Relations,1,0,0,3,1,3,0,0,0,1,3,Developer,No,,
176,Male,Single,Graduate,3,3,15,48156,1,-1,Training,0,0,0,4,5,4,0,0,0,1,4,Associate Developer,No,,
177,Female,Single,Graduate,1,4,12,46000,0,0,Testing,0,0,0,2,1,5,0,0,0,1,5,Developer,Yes,Repetitive task,Want Challenging task
178,Male,Single,Graduate,1,3,18,43565,0,-1,Product Management,0,0,0,5,3,5,1,0,0,2,2,Associate Developer,No,,
179,Male,Married,Graduate,1,3,14,48793,0,0,Testing,0,1,1,3,2,5,8,1,2,4,1,Developer,No,,
180,Female,Married,Graduate,1,3,18,49624,0,0,Sales,1,0,0,4,1,4,5,0,2,2,5,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
181,Female,Married,Graduate,2,4,18,57909,0,0,Testing,1,0,0,4,4,3,5,0,1,2,5,Developer,Yes,Family Responsibilities,Rigid Maternity Policy
182,Female,Single,Graduate,1,5,10,55353,1,-2,Consultancy,0,0,0,3,4,4,5,0,1,2,3,Developer,Yes,Technology,Higher studies
183,Female,Married,Graduate,1,4,15,43789,1,-2,Public Relations,0,0,1,3,5,5,2,0,1,2,3,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
184,Male,Single,Graduate,1,3,14,52877,0,-1,Sales,0,3,1,1,2,5,7,0,5,1,4,Developer,No,,
185,Male,Single,Graduate,2,5,17,42264,1,-1,Public Relations,0,0,0,3,5,5,0,0,0,1,1,Associate Developer,No,,
186,Male,Single,Under-Graduate,1,5,19,41537,0,-1,Product Management,0,1,0,5,5,4,3,0,2,1,5,Associate Developer,No,,
187,Female,Married,Under-Graduate,2,3,18,46120,0,1,Consultancy,0,0,0,4,5,5,0,0,0,1,5,Associate Developer,Yes,Family Responsibilities,Rigid Maternity Policy
188,Female,Single,Graduate,3,5,17,48867,1,1,HR,0,0,0,4,1,5,2,0,0,2,5,Associate Developer,Yes,Repetitive task,Want Challenging task
189,Male,Single,Graduate,1,5,15,41815,1,1,HR,0,0,0,3,1,4,0,0,0,1,5,Associate Developer,Yes,Technology,Higher studies
190,Female,Single,Graduate,2,4,17,48709,1,-2,Testing,0,2,2,1,3,3,5,2,4,4,1,Developer,No,,
191,Male,Married,Under-Graduate,1,5,17,44240,0,0,Training,0,0,0,3,3,3,0,0,0,1,2,Associate Developer,Yes,Repetitive task,Want Challenging task
