UserId,Nodes,Path,Names,Values,ReasonToManager,ReasonInExitInterview
7010,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[10,6] (= 0) <= 0.999654233455658)-->node 1: (X[10,7] (= 1) > 0.999441921710968)-->node 6: (X[10,3] (= 3) <= 3.998718023300171)-->node 7: (X[10,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7011,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (No),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->No,"node 0: (X[11,6] (= 1) > 0.999654233455658)-->node 2: (X[11,9] (= 0) <= 0.9965006709098816)-->node 3: (X[11,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (No)",,
7012,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[12,6] (= 0) <= 0.999654233455658)-->node 1: (X[12,7] (= 1) > 0.999441921710968)-->node 6: (X[12,3] (= 5) > 3.998718023300171)-->leaf node 8 (Yes)",Business Travel ,Business Travel 
7013,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[13,6] (= 1) > 0.999654233455658)-->node 2: (X[13,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7014,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[14,6] (= 1) > 0.999654233455658)-->node 2: (X[14,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7015,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[15,6] (= 0) <= 0.999654233455658)-->node 1: (X[15,7] (= 1) > 0.999441921710968)-->node 6: (X[15,3] (= 3) <= 3.998718023300171)-->node 7: (X[15,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7016,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[16,6] (= 1) > 0.999654233455658)-->node 2: (X[16,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Business Travel ,Business Travel 
7017,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[17,6] (= 1) > 0.999654233455658)-->node 2: (X[17,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7018,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[18,6] (= 1) > 0.999654233455658)-->node 2: (X[18,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7019,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[19,6] (= 1) > 0.999654233455658)-->node 2: (X[19,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7020,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (Yes),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->Yes,"node 0: (X[20,6] (= 1) > 0.999654233455658)-->node 2: (X[20,9] (= 0) <= 0.9965006709098816)-->node 3: (X[20,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (Yes)",Growth,Better career opportunity
7021,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[21,6] (= 1) > 0.999654233455658)-->node 2: (X[21,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7022,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[22,6] (= 1) > 0.999654233455658)-->node 2: (X[22,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7023,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (No),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->No,"node 0: (X[23,6] (= 1) > 0.999654233455658)-->node 2: (X[23,9] (= 0) <= 0.9965006709098816)-->node 3: (X[23,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (No)",,
7024,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[24,6] (= 0) <= 0.999654233455658)-->node 1: (X[24,7] (= 1) > 0.999441921710968)-->node 6: (X[24,3] (= 3) <= 3.998718023300171)-->node 7: (X[24,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7025,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[25,6] (= 1) > 0.999654233455658)-->node 2: (X[25,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7026,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (No),Gender_Female-->Gender_Male-->PerformanceRating-->No,"node 0: (X[26,6] (= 0) <= 0.999654233455658)-->node 1: (X[26,7] (= 1) > 0.999441921710968)-->node 6: (X[26,3] (= 4) > 3.998718023300171)-->leaf node 8 (No)",,
7027,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[27,6] (= 1) > 0.999654233455658)-->node 2: (X[27,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Business Travel ,Business Travel 
7028,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[28,6] (= 1) > 0.999654233455658)-->node 2: (X[28,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7029,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[29,6] (= 1) > 0.999654233455658)-->node 2: (X[29,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7030,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (No),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->No,"node 0: (X[30,6] (= 1) > 0.999654233455658)-->node 2: (X[30,9] (= 0) <= 0.9965006709098816)-->node 3: (X[30,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (No)",,
7031,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[31,6] (= 0) <= 0.999654233455658)-->node 1: (X[31,7] (= 1) > 0.999441921710968)-->node 6: (X[31,3] (= 3) <= 3.998718023300171)-->node 7: (X[31,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7032,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[32,6] (= 1) > 0.999654233455658)-->node 2: (X[32,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7033,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[33,6] (= 1) > 0.999654233455658)-->node 2: (X[33,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Business Travel ,Business Travel 
7034,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[34,6] (= 0) <= 0.999654233455658)-->node 1: (X[34,7] (= 1) > 0.999441921710968)-->node 6: (X[34,3] (= 5) > 3.998718023300171)-->leaf node 8 (Yes)",Business Travel ,Business Travel 
7035,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[35,6] (= 0) <= 0.999654233455658)-->node 1: (X[35,7] (= 1) > 0.999441921710968)-->node 6: (X[35,3] (= 4) > 3.998718023300171)-->leaf node 8 (Yes)",Growth,Better career opportunity
7036,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[36,6] (= 1) > 0.999654233455658)-->node 2: (X[36,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7037,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (No),Gender_Female-->Gender_Male-->PerformanceRating-->No,"node 0: (X[37,6] (= 0) <= 0.999654233455658)-->node 1: (X[37,7] (= 1) > 0.999441921710968)-->node 6: (X[37,3] (= 4) > 3.998718023300171)-->leaf node 8 (No)",,
7038,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[38,6] (= 1) > 0.999654233455658)-->node 2: (X[38,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7039,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[39,6] (= 0) <= 0.999654233455658)-->node 1: (X[39,7] (= 1) > 0.999441921710968)-->node 6: (X[39,3] (= 5) > 3.998718023300171)-->leaf node 8 (Yes)",Growth,Better career opportunity
7040,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (No),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->No,"node 0: (X[40,6] (= 1) > 0.999654233455658)-->node 2: (X[40,9] (= 0) <= 0.9965006709098816)-->node 3: (X[40,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (No)",,
7041,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (No),Gender_Female-->Gender_Male-->PerformanceRating-->No,"node 0: (X[41,6] (= 0) <= 0.999654233455658)-->node 1: (X[41,7] (= 1) > 0.999441921710968)-->node 6: (X[41,3] (= 5) > 3.998718023300171)-->leaf node 8 (No)",,
7042,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[42,6] (= 1) > 0.999654233455658)-->node 2: (X[42,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7043,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (No),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->No,"node 0: (X[43,6] (= 1) > 0.999654233455658)-->node 2: (X[43,9] (= 0) <= 0.9965006709098816)-->node 3: (X[43,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (No)",,
7044,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[44,6] (= 1) > 0.999654233455658)-->node 2: (X[44,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7045,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[45,6] (= 1) > 0.999654233455658)-->node 2: (X[45,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7046,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->Yes,"node 0: (X[46,6] (= 0) <= 0.999654233455658)-->node 1: (X[46,7] (= 1) > 0.999441921710968)-->node 6: (X[46,3] (= 3) <= 3.998718023300171)-->node 7: (X[46,3] (= 3) <= 3.001929998397827)-->leaf node 11 (Yes)",Business Travel ,Business Travel 
7047,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (No),Gender_Female-->Gender_Male-->PerformanceRating-->No,"node 0: (X[47,6] (= 0) <= 0.999654233455658)-->node 1: (X[47,7] (= 1) > 0.999441921710968)-->node 6: (X[47,3] (= 5) > 3.998718023300171)-->leaf node 8 (No)",,
7048,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[48,6] (= 1) > 0.999654233455658)-->node 2: (X[48,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Business Travel ,Business Travel 
7049,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[49,6] (= 1) > 0.999654233455658)-->node 2: (X[49,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7050,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (No),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->No,"node 0: (X[50,6] (= 1) > 0.999654233455658)-->node 2: (X[50,9] (= 0) <= 0.9965006709098816)-->node 3: (X[50,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (No)",,
7051,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[51,6] (= 0) <= 0.999654233455658)-->node 1: (X[51,7] (= 1) > 0.999441921710968)-->node 6: (X[51,3] (= 4) > 3.998718023300171)-->leaf node 8 (Yes)",Business Travel ,Business Travel 
7052,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[52,6] (= 0) <= 0.999654233455658)-->node 1: (X[52,7] (= 1) > 0.999441921710968)-->node 6: (X[52,3] (= 3) <= 3.998718023300171)-->node 7: (X[52,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7053,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[53,6] (= 1) > 0.999654233455658)-->node 2: (X[53,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7054,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (No),Gender_Female-->Gender_Male-->PerformanceRating-->No,"node 0: (X[54,6] (= 0) <= 0.999654233455658)-->node 1: (X[54,7] (= 1) > 0.999441921710968)-->node 6: (X[54,3] (= 4) > 3.998718023300171)-->leaf node 8 (No)",,
7055,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[55,6] (= 1) > 0.999654233455658)-->node 2: (X[55,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7056,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->Yes,"node 0: (X[56,6] (= 0) <= 0.999654233455658)-->node 1: (X[56,7] (= 1) > 0.999441921710968)-->node 6: (X[56,3] (= 3) <= 3.998718023300171)-->node 7: (X[56,3] (= 3) <= 3.001929998397827)-->leaf node 11 (Yes)",Business Travel ,Business Travel 
7057,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[57,6] (= 0) <= 0.999654233455658)-->node 1: (X[57,7] (= 1) > 0.999441921710968)-->node 6: (X[57,3] (= 3) <= 3.998718023300171)-->node 7: (X[57,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7058,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->Yes,"node 0: (X[58,6] (= 0) <= 0.999654233455658)-->node 1: (X[58,7] (= 1) > 0.999441921710968)-->node 6: (X[58,3] (= 3) <= 3.998718023300171)-->node 7: (X[58,3] (= 3) <= 3.001929998397827)-->leaf node 11 (Yes)",Business Travel ,Business Travel 
7059,[0 2 3 9],node 0-->node 2-->node 3-->leaf node 9 (Yes),Gender_Female-->MaritalStatus_Married-->MaritalStatus_Married-->Yes,"node 0: (X[59,6] (= 1) > 0.999654233455658)-->node 2: (X[59,9] (= 0) <= 0.9965006709098816)-->node 3: (X[59,9] (= 0) <= 0.00488875899463892)-->leaf node 9 (Yes)",Business Travel ,Business Travel 
7060,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[60,6] (= 1) > 0.999654233455658)-->node 2: (X[60,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7061,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[61,6] (= 0) <= 0.999654233455658)-->node 1: (X[61,7] (= 1) > 0.999441921710968)-->node 6: (X[61,3] (= 5) > 3.998718023300171)-->leaf node 8 (Yes)",Growth,Better career opportunity
7062,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[62,6] (= 1) > 0.999654233455658)-->node 2: (X[62,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7063,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[63,6] (= 0) <= 0.999654233455658)-->node 1: (X[63,7] (= 1) > 0.999441921710968)-->node 6: (X[63,3] (= 3) <= 3.998718023300171)-->node 7: (X[63,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7064,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[64,6] (= 0) <= 0.999654233455658)-->node 1: (X[64,7] (= 1) > 0.999441921710968)-->node 6: (X[64,3] (= 3) <= 3.998718023300171)-->node 7: (X[64,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7065,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[65,6] (= 0) <= 0.999654233455658)-->node 1: (X[65,7] (= 1) > 0.999441921710968)-->node 6: (X[65,3] (= 3) <= 3.998718023300171)-->node 7: (X[65,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7066,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[66,6] (= 0) <= 0.999654233455658)-->node 1: (X[66,7] (= 1) > 0.999441921710968)-->node 6: (X[66,3] (= 5) > 3.998718023300171)-->leaf node 8 (Yes)",Growth,Better career opportunity
7067,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[67,6] (= 0) <= 0.999654233455658)-->node 1: (X[67,7] (= 1) > 0.999441921710968)-->node 6: (X[67,3] (= 4) > 3.998718023300171)-->leaf node 8 (Yes)",Growth,Better career opportunity
7068,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[68,6] (= 0) <= 0.999654233455658)-->node 1: (X[68,7] (= 1) > 0.999441921710968)-->node 6: (X[68,3] (= 5) > 3.998718023300171)-->leaf node 8 (Yes)",Growth,Better career opportunity
7069,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[69,6] (= 0) <= 0.999654233455658)-->node 1: (X[69,7] (= 1) > 0.999441921710968)-->node 6: (X[69,3] (= 4) > 3.998718023300171)-->leaf node 8 (Yes)",Growth,Better career opportunity
7070,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[70,6] (= 1) > 0.999654233455658)-->node 2: (X[70,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7071,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (Yes),Gender_Female-->Gender_Male-->PerformanceRating-->Yes,"node 0: (X[71,6] (= 0) <= 0.999654233455658)-->node 1: (X[71,7] (= 1) > 0.999441921710968)-->node 6: (X[71,3] (= 4) > 3.998718023300171)-->leaf node 8 (Yes)",Growth,Better career opportunity
7072,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[72,6] (= 1) > 0.999654233455658)-->node 2: (X[72,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7073,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[73,6] (= 1) > 0.999654233455658)-->node 2: (X[73,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Growth,Better career opportunity
7074,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[74,6] (= 1) > 0.999654233455658)-->node 2: (X[74,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7075,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[75,6] (= 1) > 0.999654233455658)-->node 2: (X[75,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7076,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (No),Gender_Female-->Gender_Male-->PerformanceRating-->No,"node 0: (X[76,6] (= 0) <= 0.999654233455658)-->node 1: (X[76,7] (= 1) > 0.999441921710968)-->node 6: (X[76,3] (= 4) > 3.998718023300171)-->leaf node 8 (No)",,
7077,[0 2 4],node 0-->node 2-->leaf node 4 (No),Gender_Female-->MaritalStatus_Married-->No,"node 0: (X[77,6] (= 1) > 0.999654233455658)-->node 2: (X[77,9] (= 1) > 0.9965006709098816)-->leaf node 4 (No)",,
7078,[ 0  1  6  7 11],node 0-->node 1-->node 6-->node 7-->leaf node 11 (No),Gender_Female-->Gender_Male-->PerformanceRating-->PerformanceRating-->No,"node 0: (X[78,6] (= 0) <= 0.999654233455658)-->node 1: (X[78,7] (= 1) > 0.999441921710968)-->node 6: (X[78,3] (= 3) <= 3.998718023300171)-->node 7: (X[78,3] (= 3) <= 3.001929998397827)-->leaf node 11 (No)",,
7079,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[79,6] (= 1) > 0.999654233455658)-->node 2: (X[79,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Family Responsibilities,Rigid Maternity Policy
7080,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (No),Gender_Female-->Gender_Male-->PerformanceRating-->No,"node 0: (X[80,6] (= 0) <= 0.999654233455658)-->node 1: (X[80,7] (= 1) > 0.999441921710968)-->node 6: (X[80,3] (= 5) > 3.998718023300171)-->leaf node 8 (No)",,
7081,[0 2 4],node 0-->node 2-->leaf node 4 (Yes),Gender_Female-->MaritalStatus_Married-->Yes,"node 0: (X[81,6] (= 1) > 0.999654233455658)-->node 2: (X[81,9] (= 1) > 0.9965006709098816)-->leaf node 4 (Yes)",Growth,Better career opportunity
7082,[0 1 6 8],node 0-->node 1-->node 6-->leaf node 8 (No),Gender_Female-->Gender_Male-->PerformanceRating-->No,"node 0: (X[82,6] (= 0) <= 0.999654233455658)-->node 1: (X[82,7] (= 1) > 0.999441921710968)-->node 6: (X[82,3] (= 4) > 3.998718023300171)-->leaf node 8 (No)",,
