UserId,Nodes,Path,Names,Values,ReasonToManager,ReasonInExitInterview
10,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[10,3] (= 3) <= 3.996037006378174)-->node 1: (X[10,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
11,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[11,3] (= 4) > 3.996037006378174)-->node 2: (X[11,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
12,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[12,3] (= 5) > 3.996037006378174)-->node 2: (X[12,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
13,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (Yes),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->Yes,"node 0: (X[13,3] (= 2) <= 3.996037006378174)-->node 1: (X[13,8] (= 1) > 0.9974051713943481)-->node 4: (X[13,6] (= 1) > 0.9539861679077148)-->leaf node 6 (Yes)",Family Responsibilities,Rigid Maternity Policy
14,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[14,3] (= 5) > 3.996037006378174)-->node 2: (X[14,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
15,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (No),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->No,"node 0: (X[15,3] (= 5) > 3.996037006378174)-->node 2: (X[15,1] (= 3) <= 3.9844515323638916)-->node 7: (X[15,1] (= 3) <= 3.000603675842285)-->node 9: (X[15,9] (= 1) > 0.01643943414092064)-->leaf node 12 (No)",,
16,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[16,3] (= 4) > 3.996037006378174)-->node 2: (X[16,1] (= 5) > 3.9844515323638916)-->leaf node 8 (No)",,
17,[0 1 4 5],node 0-->node 1-->node 4-->leaf node 5 (No),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->No,"node 0: (X[17,3] (= 3) <= 3.996037006378174)-->node 1: (X[17,8] (= 1) > 0.9974051713943481)-->node 4: (X[17,6] (= 0) <= 0.9539861679077148)-->leaf node 5 (No)",,
18,[ 0  2  7  9 11],node 0-->node 2-->node 7-->node 9-->leaf node 11 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[18,3] (= 4) > 3.996037006378174)-->node 2: (X[18,1] (= 2) <= 3.9844515323638916)-->node 7: (X[18,1] (= 2) <= 3.000603675842285)-->node 9: (X[18,9] (= 0) <= 0.01643943414092064)-->leaf node 11 (Yes)",Family Responsibilities,Rigid Maternity Policy
19,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[19,3] (= 5) > 3.996037006378174)-->node 2: (X[19,1] (= 5) > 3.9844515323638916)-->leaf node 8 (No)",,
20,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[20,3] (= 5) > 3.996037006378174)-->node 2: (X[20,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
21,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[21,3] (= 5) > 3.996037006378174)-->node 2: (X[21,1] (= 2) <= 3.9844515323638916)-->node 7: (X[21,1] (= 2) <= 3.000603675842285)-->node 9: (X[21,9] (= 1) > 0.01643943414092064)-->leaf node 12 (Yes)",Repetitive task,Want Challenging task
22,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[22,3] (= 3) <= 3.996037006378174)-->node 1: (X[22,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
23,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (Yes),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->Yes,"node 0: (X[23,3] (= 3) <= 3.996037006378174)-->node 1: (X[23,8] (= 1) > 0.9974051713943481)-->node 4: (X[23,6] (= 1) > 0.9539861679077148)-->leaf node 6 (Yes)",Family Responsibilities,Rigid Maternity Policy
24,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[24,3] (= 4) > 3.996037006378174)-->node 2: (X[24,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
25,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[25,3] (= 4) > 3.996037006378174)-->node 2: (X[25,1] (= 4) > 3.9844515323638916)-->leaf node 8 (No)",,
26,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[26,3] (= 3) <= 3.996037006378174)-->node 1: (X[26,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
27,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[27,3] (= 4) > 3.996037006378174)-->node 2: (X[27,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
28,[ 0  2  7  9 11],node 0-->node 2-->node 7-->node 9-->leaf node 11 (No),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->No,"node 0: (X[28,3] (= 5) > 3.996037006378174)-->node 2: (X[28,1] (= 3) <= 3.9844515323638916)-->node 7: (X[28,1] (= 3) <= 3.000603675842285)-->node 9: (X[28,9] (= 0) <= 0.01643943414092064)-->leaf node 11 (No)",,
29,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[29,3] (= 4) > 3.996037006378174)-->node 2: (X[29,1] (= 5) > 3.9844515323638916)-->leaf node 8 (No)",,
30,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[30,3] (= 5) > 3.996037006378174)-->node 2: (X[30,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
31,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[31,3] (= 4) > 3.996037006378174)-->node 2: (X[31,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
32,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[32,3] (= 4) > 3.996037006378174)-->node 2: (X[32,1] (= 3) <= 3.9844515323638916)-->node 7: (X[32,1] (= 3) <= 3.000603675842285)-->node 9: (X[32,9] (= 1) > 0.01643943414092064)-->leaf node 12 (Yes)",Repetitive task,Want Challenging task
33,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (No),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->No,"node 0: (X[33,3] (= 3) <= 3.996037006378174)-->node 1: (X[33,8] (= 1) > 0.9974051713943481)-->node 4: (X[33,6] (= 1) > 0.9539861679077148)-->leaf node 6 (No)",,
34,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[34,3] (= 4) > 3.996037006378174)-->node 2: (X[34,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
35,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[35,3] (= 5) > 3.996037006378174)-->node 2: (X[35,1] (= 4) > 3.9844515323638916)-->leaf node 8 (No)",,
36,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[36,3] (= 5) > 3.996037006378174)-->node 2: (X[36,1] (= 5) > 3.9844515323638916)-->leaf node 8 (No)",,
37,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[37,3] (= 5) > 3.996037006378174)-->node 2: (X[37,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
38,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[38,3] (= 4) > 3.996037006378174)-->node 2: (X[38,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
39,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[39,3] (= 5) > 3.996037006378174)-->node 2: (X[39,1] (= 5) > 3.9844515323638916)-->leaf node 8 (No)",,
40,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[40,3] (= 4) > 3.996037006378174)-->node 2: (X[40,1] (= 4) > 3.9844515323638916)-->leaf node 8 (No)",,
41,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[41,3] (= 5) > 3.996037006378174)-->node 2: (X[41,1] (= 2) <= 3.9844515323638916)-->node 7: (X[41,1] (= 2) <= 3.000603675842285)-->node 9: (X[41,9] (= 1) > 0.01643943414092064)-->leaf node 12 (Yes)",Repetitive task,Want Challenging task
42,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (Yes),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->Yes,"node 0: (X[42,3] (= 3) <= 3.996037006378174)-->node 1: (X[42,8] (= 1) > 0.9974051713943481)-->node 4: (X[42,6] (= 1) > 0.9539861679077148)-->leaf node 6 (Yes)",Family Responsibilities,Rigid Maternity Policy
43,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[43,3] (= 5) > 3.996037006378174)-->node 2: (X[43,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Family Responsibilities,Rigid Maternity Policy
44,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[44,3] (= 3) <= 3.996037006378174)-->node 1: (X[44,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
45,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (No),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->No,"node 0: (X[45,3] (= 4) > 3.996037006378174)-->node 2: (X[45,1] (= 3) <= 3.9844515323638916)-->node 7: (X[45,1] (= 3) <= 3.000603675842285)-->node 9: (X[45,9] (= 1) > 0.01643943414092064)-->leaf node 12 (No)",,
46,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[46,3] (= 4) > 3.996037006378174)-->node 2: (X[46,1] (= 3) <= 3.9844515323638916)-->node 7: (X[46,1] (= 3) <= 3.000603675842285)-->node 9: (X[46,9] (= 1) > 0.01643943414092064)-->leaf node 12 (Yes)",Repetitive task,Want Challenging task
47,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (No),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->No,"node 0: (X[47,3] (= 4) > 3.996037006378174)-->node 2: (X[47,1] (= 3) <= 3.9844515323638916)-->node 7: (X[47,1] (= 3) <= 3.000603675842285)-->node 9: (X[47,9] (= 1) > 0.01643943414092064)-->leaf node 12 (No)",,
48,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[48,3] (= 5) > 3.996037006378174)-->node 2: (X[48,1] (= 3) <= 3.9844515323638916)-->node 7: (X[48,1] (= 3) <= 3.000603675842285)-->node 9: (X[48,9] (= 1) > 0.01643943414092064)-->leaf node 12 (Yes)",Technology,Higher studies
49,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[49,3] (= 3) <= 3.996037006378174)-->node 1: (X[49,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
50,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (Yes),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->Yes,"node 0: (X[50,3] (= 3) <= 3.996037006378174)-->node 1: (X[50,8] (= 1) > 0.9974051713943481)-->node 4: (X[50,6] (= 1) > 0.9539861679077148)-->leaf node 6 (Yes)",Family Responsibilities,Rigid Maternity Policy
51,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[51,3] (= 3) <= 3.996037006378174)-->node 1: (X[51,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
52,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[52,3] (= 3) <= 3.996037006378174)-->node 1: (X[52,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
53,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[53,3] (= 4) > 3.996037006378174)-->node 2: (X[53,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
54,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[54,3] (= 4) > 3.996037006378174)-->node 2: (X[54,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
55,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[55,3] (= 4) > 3.996037006378174)-->node 2: (X[55,1] (= 5) > 3.9844515323638916)-->leaf node 8 (No)",,
56,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[56,3] (= 5) > 3.996037006378174)-->node 2: (X[56,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Family Responsibilities,Rigid Maternity Policy
57,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[57,3] (= 4) > 3.996037006378174)-->node 2: (X[57,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
58,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[58,3] (= 4) > 3.996037006378174)-->node 2: (X[58,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
59,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[59,3] (= 5) > 3.996037006378174)-->node 2: (X[59,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
60,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[60,3] (= 5) > 3.996037006378174)-->node 2: (X[60,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
61,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (No),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->No,"node 0: (X[61,3] (= 3) <= 3.996037006378174)-->node 1: (X[61,8] (= 1) > 0.9974051713943481)-->node 4: (X[61,6] (= 1) > 0.9539861679077148)-->leaf node 6 (No)",,
62,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[62,3] (= 5) > 3.996037006378174)-->node 2: (X[62,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
63,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[63,3] (= 4) > 3.996037006378174)-->node 2: (X[63,1] (= 4) > 3.9844515323638916)-->leaf node 8 (No)",,
64,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[64,3] (= 3) <= 3.996037006378174)-->node 1: (X[64,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
65,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[65,3] (= 5) > 3.996037006378174)-->node 2: (X[65,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
66,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[66,3] (= 4) > 3.996037006378174)-->node 2: (X[66,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
67,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[67,3] (= 4) > 3.996037006378174)-->node 2: (X[67,1] (= 4) > 3.9844515323638916)-->leaf node 8 (No)",,
68,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (Yes),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->Yes,"node 0: (X[68,3] (= 3) <= 3.996037006378174)-->node 1: (X[68,8] (= 1) > 0.9974051713943481)-->node 4: (X[68,6] (= 1) > 0.9539861679077148)-->leaf node 6 (Yes)",Family Responsibilities,Rigid Maternity Policy
69,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (No),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->No,"node 0: (X[69,3] (= 5) > 3.996037006378174)-->node 2: (X[69,1] (= 2) <= 3.9844515323638916)-->node 7: (X[69,1] (= 2) <= 3.000603675842285)-->node 9: (X[69,9] (= 1) > 0.01643943414092064)-->leaf node 12 (No)",,
70,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (Yes),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->Yes,"node 0: (X[70,3] (= 3) <= 3.996037006378174)-->node 1: (X[70,8] (= 1) > 0.9974051713943481)-->node 4: (X[70,6] (= 1) > 0.9539861679077148)-->leaf node 6 (Yes)",Family Responsibilities,Rigid Maternity Policy
71,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (No),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->No,"node 0: (X[71,3] (= 3) <= 3.996037006378174)-->node 1: (X[71,8] (= 1) > 0.9974051713943481)-->node 4: (X[71,6] (= 1) > 0.9539861679077148)-->leaf node 6 (No)",,
72,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[72,3] (= 4) > 3.996037006378174)-->node 2: (X[72,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
73,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[73,3] (= 5) > 3.996037006378174)-->node 2: (X[73,1] (= 4) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
74,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[74,3] (= 5) > 3.996037006378174)-->node 2: (X[74,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
75,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[75,3] (= 3) <= 3.996037006378174)-->node 1: (X[75,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
76,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[76,3] (= 4) > 3.996037006378174)-->node 2: (X[76,1] (= 5) > 3.9844515323638916)-->leaf node 8 (No)",,
77,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[77,3] (= 5) > 3.996037006378174)-->node 2: (X[77,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
78,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (Yes),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->Yes,"node 0: (X[78,3] (= 4) > 3.996037006378174)-->node 2: (X[78,1] (= 3) <= 3.9844515323638916)-->node 7: (X[78,1] (= 3) <= 3.000603675842285)-->node 9: (X[78,9] (= 1) > 0.01643943414092064)-->leaf node 12 (Yes)",Repetitive task,Want Challenging task
79,[0 1 3],node 0-->node 1-->leaf node 3 (No),PerformanceRating-->MaritalStatus_Married-->No,"node 0: (X[79,3] (= 3) <= 3.996037006378174)-->node 1: (X[79,8] (= 0) <= 0.9974051713943481)-->leaf node 3 (No)",,
80,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[80,3] (= 5) > 3.996037006378174)-->node 2: (X[80,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
81,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[81,3] (= 5) > 3.996037006378174)-->node 2: (X[81,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Repetitive task,Want Challenging task
82,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[82,3] (= 5) > 3.996037006378174)-->node 2: (X[82,1] (= 5) > 3.9844515323638916)-->leaf node 8 (No)",,
83,[ 0  2  7  9 12],node 0-->node 2-->node 7-->node 9-->leaf node 12 (No),PerformanceRating-->TrainingHoursLastYear-->TrainingHoursLastYear-->MaritalStatus_Single-->No,"node 0: (X[83,3] (= 4) > 3.996037006378174)-->node 2: (X[83,1] (= 2) <= 3.9844515323638916)-->node 7: (X[83,1] (= 2) <= 3.000603675842285)-->node 9: (X[83,9] (= 1) > 0.01643943414092064)-->leaf node 12 (No)",,
84,[0 2 8],node 0-->node 2-->leaf node 8 (No),PerformanceRating-->TrainingHoursLastYear-->No,"node 0: (X[84,3] (= 5) > 3.996037006378174)-->node 2: (X[84,1] (= 4) > 3.9844515323638916)-->leaf node 8 (No)",,
85,[0 2 8],node 0-->node 2-->leaf node 8 (Yes),PerformanceRating-->TrainingHoursLastYear-->Yes,"node 0: (X[85,3] (= 5) > 3.996037006378174)-->node 2: (X[85,1] (= 5) > 3.9844515323638916)-->leaf node 8 (Yes)",Technology,Higher studies
86,[0 1 4 6],node 0-->node 1-->node 4-->leaf node 6 (Yes),PerformanceRating-->MaritalStatus_Married-->Gender_Female-->Yes,"node 0: (X[86,3] (= 2) <= 3.996037006378174)-->node 1: (X[86,8] (= 1) > 0.9974051713943481)-->node 4: (X[86,6] (= 1) > 0.9539861679077148)-->leaf node 6 (Yes)",Family Responsibilities,Rigid Maternity Policy
