ID,Gender,MaritalStatus,Education,CommuteDistance,PerformanceRating,PercentSalaryHike,MonthlyIncome,StockOptionLevel,CompanyProfit,Department,BusinessTravel,YearsWithCurrentManager,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,TrainingHoursLastYear,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,NumbersCompaniesWorked,WorkLifeBal,JobLevel,Attrition,ReasonToManager,ReasonInExitInterview
14078,Male,Married,Graduate,3,3,12,52463,2,-2,Consultancy,3,3,2,3,4,2,9,4,8,2,3,Senior Developer,Yes,Direction,Strategy 
14079,Female,Divorced,Post-Graduate,2,3,7,89671,3,-1,HR,3,7,5,5,1,1,16,4,14,4,2,VP,No,,
14080,Female,Married,Graduate,4,4,18,60387,2,0,Development,2,2,1,2,5,3,8,3,7,1,4,Senior Developer,Yes,Direction,Strategy 
14081,Male,Divorced,Graduate,2,3,9,91678,3,0,HR,3,7,2,1,2,1,18,7,12,2,5,VP,Yes,Direction,Strategy 
14082,Male,Divorced,Post-Graduate,3,4,13,59278,2,0,DevOps,3,2,2,2,2,4,10,5,5,1,4,Senior Developer,Yes,Direction,Strategy 
14083,Male,Married,Graduate,2,4,7,83722,2,0,Consultancy,3,7,3,4,2,2,16,7,12,3,5,VP,Yes,Direction,Strategy 
14084,Female,Married,Doctorate,2,3,6,75918,2,1,DevOps,3,5,0,3,4,1,14,3,10,3,2,Product Owner,Yes,Direction,Strategy 
14085,Male,Married,Doctorate,3,3,9,56255,2,1,Product Management,3,5,2,4,3,3,18,3,8,1,3,Product Manager,No,,
14086,Male,Married,Doctorate,2,3,8,80768,3,0,Development,3,3,1,3,2,4,19,8,10,4,3,VP,No,,
14087,Male,Married,Graduate,3,4,7,88933,3,0,Public Relations,3,5,4,2,4,2,20,3,12,3,4,VP,Yes,Direction,Strategy 
14088,Female,Single,Post-Graduate,4,5,12,56731,2,1,Sales,3,6,0,4,5,3,11,6,9,4,4,Product Manager,Yes,Direction,Strategy 
14089,Male,Single,Post-Graduate,2,3,7,76326,3,-1,Consultancy,3,3,1,4,1,2,20,9,14,2,4,VP,No,,
14090,Female,Married,Post-Graduate,4,4,6,75738,2,-2,Consultancy,3,4,6,3,4,4,15,4,13,2,3,VP,Yes,Direction,Strategy 
14091,Male,Married,Post-Graduate,3,4,12,58381,2,1,HR,3,0,2,2,3,1,12,3,8,3,3,Senior Developer,No,,
14092,Male,Married,Post-Graduate,3,5,11,60755,2,-1,Development,2,5,2,2,4,2,16,6,9,2,2,Product Manager,Yes,Direction,Strategy 
14093,Male,Single,Graduate,1,4,8,75074,2,1,Sales,3,5,4,2,2,4,15,3,10,4,5,VP,No,,
14094,Male,Married,Post-Graduate,3,4,6,75102,2,1,Consultancy,3,7,5,3,3,3,19,8,10,2,4,VP,Yes,Direction,Strategy 
14095,Female,Married,Post-Graduate,2,3,16,53927,2,0,Development,2,0,3,4,4,2,12,3,6,2,1,Senior Developer,Yes,Direction,Strategy 
14096,Female,Divorced,Graduate,4,3,12,60270,2,-2,People Management,3,3,0,1,5,3,17,4,10,4,4,Product Manager,No,,
14097,Male,Married,Graduate,1,5,11,61257,2,0,Consultancy,2,5,0,1,2,2,12,3,9,4,2,Product Manager,Yes,Direction,Strategy 
14098,Male,Married,Post-Graduate,4,4,8,92280,2,1,People Management,3,6,0,4,5,4,8,4,8,1,4,Product Owner,Yes,Direction,Strategy 
14099,Male,Married,Graduate,3,3,6,77920,2,1,Consultancy,3,3,5,4,3,4,8,6,8,1,1,Product Owner,Yes,Direction,Strategy 
14100,Female,Married,Graduate,3,3,11,64231,2,1,Product Management,3,6,4,5,1,2,8,3,8,1,4,Product Manager,Yes,Direction,Strategy 
14101,Male,Married,Graduate,4,5,8,58681,2,-1,Development,3,5,3,3,2,2,15,5,10,2,2,Product Manager,No,,
14102,Female,Married,Graduate,1,4,9,91706,3,1,Product Management,3,5,4,1,2,3,18,5,12,4,5,VP,Yes,Direction,Strategy 
14103,Female,Married,Graduate,4,4,18,56783,2,1,Sales,2,3,1,4,3,1,16,3,6,2,1,Senior Developer,Yes,Direction,Strategy 
14104,Female,Married,Doctorate,4,4,9,80598,3,-2,DevOps,3,4,3,5,2,3,20,6,9,3,4,Product Owner,No,,
14105,Female,Single,Graduate,3,3,12,52256,2,0,Training,3,1,3,4,4,3,9,3,7,2,5,Senior Developer,No,,
14106,Female,Married,Post-Graduate,4,5,13,55410,2,-2,Product Management,3,3,3,4,1,2,13,5,5,1,4,Senior Developer,Yes,Direction,Strategy 
14107,Male,Divorced,Doctorate,2,5,10,52165,2,-2,Development,2,3,2,3,3,3,19,4,8,4,4,Product Manager,Yes,Direction,Strategy 
14108,Female,Divorced,Post-Graduate,4,3,8,79675,3,0,People Management,3,8,2,3,3,1,16,10,12,3,1,VP,No,,
14109,Female,Married,Graduate,2,5,16,46130,2,-1,Sales,2,2,1,4,5,1,13,3,6,4,5,Senior Developer,No,,
14110,Male,Married,Post-Graduate,1,5,11,50404,2,1,DevOps,2,5,4,4,4,2,14,3,8,4,5,Product Manager,No,,
14111,Female,Divorced,Graduate,1,5,12,50698,2,0,Consultancy,3,7,1,5,1,2,12,6,8,2,5,Product Manager,Yes,Direction,Strategy 
14112,Male,Married,Post-Graduate,4,5,6,78763,2,1,Public Relations,3,5,2,5,4,1,16,4,13,2,4,VP,Yes,Direction,Strategy 
14113,Male,Married,Post-Graduate,1,5,6,92115,2,-1,People Management,3,5,0,2,4,4,20,4,12,3,4,VP,Yes,Direction,Strategy 
14114,Female,Single,Post-Graduate,1,4,16,55316,2,1,HR,2,2,2,3,3,1,9,5,8,3,5,Senior Developer,Yes,Direction,Strategy 
14115,Female,Married,Post-Graduate,2,3,15,46850,2,1,Testing,3,3,2,1,1,3,8,5,5,2,4,Senior Developer,No,,
14116,Male,Single,Post-Graduate,2,3,15,56278,2,0,Consultancy,2,0,2,2,4,3,14,5,7,4,5,Senior Developer,No,,
14117,Male,Divorced,Post-Graduate,1,3,9,94857,2,-1,Development,3,6,4,5,5,2,14,4,11,2,1,Product Owner,No,,
14118,Female,Married,Post-Graduate,2,4,9,91831,2,0,DevOps,3,4,2,3,3,3,15,11,12,4,5,VP,Yes,Direction,Strategy 
14119,Male,Married,Post-Graduate,4,4,10,47796,2,0,Product Management,2,2,0,2,1,1,14,5,9,1,4,Product Manager,Yes,Direction,Strategy 
14120,Female,Married,Post-Graduate,4,4,9,52684,2,-1,Development,3,7,4,5,2,4,20,6,9,2,4,Product Manager,No,,
14121,Male,Single,Graduate,2,5,17,56015,2,1,Public Relations,3,1,2,4,5,2,18,3,8,2,4,Senior Developer,Yes,Direction,Strategy 
14122,Female,Single,Graduate,4,3,9,91920,3,-2,Testing,3,3,2,3,5,2,10,8,9,2,3,Product Owner,No,,
14123,Male,Married,Doctorate,1,3,6,76040,3,-1,Public Relations,3,5,0,5,2,1,16,3,12,4,5,VP,Yes,Direction,Strategy 
14124,Male,Single,Graduate,1,3,13,54547,2,-2,Public Relations,2,3,1,4,3,3,10,3,7,4,4,Senior Developer,No,,
14125,Male,Single,Post-Graduate,1,4,7,87483,2,0,Training,3,4,0,3,5,2,19,3,10,2,4,Product Owner,No,,
14126,Female,Married,Graduate,4,5,12,50856,2,-2,Testing,2,7,3,5,3,1,10,4,9,4,2,Product Manager,No,,
14127,Male,Married,Graduate,4,5,6,85388,2,1,Sales,3,6,1,4,5,4,16,4,11,2,4,Product Owner,Yes,Direction,Strategy 
14128,Female,Married,Post-Graduate,2,4,10,59086,2,0,People Management,3,6,0,5,3,2,16,3,9,4,5,Product Manager,Yes,Direction,Strategy 
14129,Male,Married,Post-Graduate,4,5,8,80875,3,1,Sales,3,3,6,2,2,2,19,9,13,2,2,VP,Yes,Direction,Strategy 
14130,Female,Single,Graduate,4,3,9,94392,3,0,Testing,3,9,2,4,2,4,16,6,12,3,4,VP,Yes,Direction,Strategy 
14131,Female,Divorced,Post-Graduate,1,3,9,84659,3,1,Development,3,7,0,2,5,1,8,4,8,1,5,Product Owner,Yes,Direction,Strategy 
14132,Female,Single,Doctorate,1,3,6,80680,3,0,Training,3,4,1,4,5,1,18,4,11,4,2,Product Owner,Yes,Direction,Strategy 
14133,Female,Married,Graduate,1,3,6,81882,3,-1,Product Management,3,4,1,5,2,4,15,4,9,3,4,Product Owner,No,,
14134,Male,Married,Post-Graduate,2,4,9,78978,2,0,People Management,3,4,4,5,4,4,13,8,9,3,5,Product Owner,Yes,Direction,Strategy 
14135,Male,Married,Post-Graduate,4,3,17,62260,2,-2,Public Relations,2,1,2,4,1,2,20,4,7,2,2,Senior Developer,No,,
14136,Male,Divorced,Post-Graduate,4,4,11,51519,2,-1,Consultancy,3,6,3,1,2,4,13,7,10,2,3,Product Manager,No,,
14137,Female,Married,Graduate,1,3,9,86667,3,-1,Testing,3,7,1,4,3,1,20,8,9,3,1,Product Owner,Yes,Direction,Strategy 
14138,Female,Single,Graduate,3,5,7,82641,2,-2,Training,3,8,2,1,5,4,15,6,11,4,4,VP,No,,
14139,Female,Married,Post-Graduate,3,5,9,48659,2,1,Testing,3,2,0,5,3,2,8,5,8,1,5,Product Manager,Yes,Direction,Strategy 
14140,Female,Married,Graduate,2,4,7,94036,2,0,People Management,3,7,3,4,4,3,20,7,11,2,4,Product Owner,Yes,Direction,Strategy 
14141,Male,Married,Doctorate,1,5,8,80046,2,1,HR,3,5,4,2,3,3,19,6,14,2,2,VP,Yes,Direction,Strategy 
14142,Female,Married,Post-Graduate,2,3,8,83488,3,-2,Product Management,3,7,2,4,4,1,17,4,10,4,4,VP,No,,
14143,Male,Married,Post-Graduate,3,4,6,91032,2,0,Development,3,4,5,1,3,1,15,10,12,2,1,VP,Yes,Direction,Strategy 
14144,Female,Married,Post-Graduate,3,3,9,76140,3,0,Public Relations,3,3,1,2,3,3,13,5,10,4,1,Product Owner,Yes,Direction,Strategy 
14145,Male,Married,Post-Graduate,2,3,6,91418,3,0,Sales,3,9,2,5,5,1,17,5,14,2,4,VP,Yes,Direction,Strategy 
14146,Female,Married,Graduate,1,3,7,92328,2,-1,People Management,3,3,3,3,5,3,16,5,11,2,5,Product Owner,Yes,Direction,Strategy 
14147,Male,Married,Post-Graduate,2,4,9,78906,2,-1,Sales,3,6,6,4,5,3,15,3,12,4,2,VP,Yes,Direction,Strategy 
14148,Male,Married,Graduate,1,3,9,82206,3,-1,DevOps,3,3,3,4,2,1,17,9,12,2,5,VP,No,,
14149,Male,Married,Graduate,4,5,10,47395,2,1,Training,3,4,5,4,4,1,12,5,10,3,1,Product Manager,No,,
14150,Male,Married,Graduate,1,3,7,83911,3,-2,Consultancy,3,4,2,3,5,3,18,5,11,2,2,Product Owner,Yes,Direction,Strategy 
14151,Male,Divorced,Graduate,4,3,9,61999,2,-2,DevOps,3,3,5,3,1,4,15,3,10,4,2,Product Manager,No,,
14152,Male,Divorced,Post-Graduate,4,5,8,75992,3,-1,Development,3,3,0,3,5,1,20,3,14,4,5,VP,Yes,Direction,Strategy 
14153,Female,Married,Post-Graduate,4,4,9,93391,2,1,Testing,3,9,4,5,4,1,18,4,14,4,5,VP,No,,
14154,Male,Married,Post-Graduate,1,4,7,76648,2,-1,Product Management,3,6,1,5,3,1,15,5,10,2,5,VP,No,,
14155,Female,Married,Post-Graduate,4,3,8,78689,3,-1,Product Management,3,6,4,4,1,1,19,8,14,3,4,VP,Yes,Direction,Strategy 
14156,Male,Married,Graduate,1,4,17,63671,2,-1,Development,3,2,0,5,3,3,17,4,7,1,3,Senior Developer,Yes,Direction,Strategy 
14157,Male,Single,Post-Graduate,2,5,7,81933,3,-1,Development,3,6,4,4,2,1,9,8,9,1,4,Product Owner,Yes,Direction,Strategy 
14158,Male,Married,Graduate,3,4,12,62651,2,1,People Management,2,3,0,4,4,1,16,5,8,2,4,Product Manager,Yes,Direction,Strategy 
14159,Male,Divorced,Post-Graduate,1,5,15,59735,2,0,Sales,3,1,1,4,4,4,9,4,5,1,2,Senior Developer,No,,
14160,Female,Married,Graduate,3,3,8,45939,2,1,People Management,2,5,1,3,3,4,20,3,9,3,2,Product Manager,Yes,Direction,Strategy 
14161,Female,Divorced,Graduate,1,3,8,93609,3,-2,Development,3,6,5,4,3,2,17,4,12,2,4,VP,Yes,Direction,Strategy 
14162,Female,Single,Graduate,4,3,9,91407,3,0,Sales,3,3,2,5,4,1,20,8,11,4,3,VP,Yes,Direction,Strategy 
14163,Female,Married,Graduate,2,4,8,94080,2,1,People Management,3,9,2,3,1,2,15,4,12,4,4,VP,Yes,Direction,Strategy 
14164,Female,Married,Graduate,2,4,6,85320,3,-2,Testing,3,4,3,2,3,1,19,3,12,2,1,VP,No,,
14165,Female,Married,Graduate,4,4,11,45190,2,-2,Public Relations,3,6,5,1,4,1,12,4,9,1,2,Product Manager,No,,
14166,Male,Married,Graduate,3,3,11,57215,2,-2,Sales,3,2,4,3,4,1,14,6,9,2,3,Product Manager,No,,
14167,Male,Married,Post-Graduate,4,4,6,84312,2,-1,Training,3,9,5,5,2,2,18,7,14,3,3,VP,No,,
14168,Male,Divorced,Post-Graduate,1,5,16,54323,2,-1,Consultancy,3,3,0,4,2,2,16,3,8,4,2,Senior Developer,Yes,Direction,Strategy 
14169,Male,Married,Post-Graduate,2,3,9,59645,2,-1,Development,3,3,2,4,4,2,12,7,9,1,2,Product Manager,No,,
14170,Male,Married,Post-Graduate,3,5,8,76333,3,-1,HR,3,3,3,3,1,1,15,6,10,3,3,Product Owner,No,,
14171,Female,Married,Graduate,1,5,6,90903,2,-2,People Management,3,3,6,4,1,2,18,5,11,3,4,VP,Yes,Direction,Strategy 
14172,Male,Married,Post-Graduate,3,4,9,92387,2,-2,People Management,3,6,1,2,4,2,15,8,11,4,2,Product Owner,No,,
14173,Male,Married,Post-Graduate,3,5,14,50630,2,-1,Consultancy,2,3,3,3,5,1,8,5,7,1,3,Senior Developer,Yes,Direction,Strategy 
14174,Male,Divorced,Post-Graduate,4,4,11,49393,2,1,Testing,3,5,2,4,4,1,8,7,8,1,2,Product Manager,Yes,Direction,Strategy 
14175,Female,Married,Graduate,4,3,7,85483,3,-2,Training,3,4,1,3,1,2,18,8,10,2,1,Product Owner,No,,
14176,Male,Married,Graduate,2,3,13,53769,2,-2,Product Management,2,2,3,5,2,2,10,3,5,4,1,Senior Developer,Yes,Direction,Strategy 
14177,Male,Married,Graduate,4,5,9,77018,3,-2,Sales,3,6,1,1,2,4,20,6,12,4,4,VP,Yes,Direction,Strategy 
14178,Male,Married,Graduate,3,4,8,85052,2,0,Product Management,3,2,0,3,4,1,9,5,9,1,3,Product Owner,No,,
14179,Female,Married,Post-Graduate,2,4,7,88577,3,0,Training,3,9,3,5,5,4,18,4,14,4,5,VP,Yes,Direction,Strategy 
14180,Female,Married,Graduate,4,4,16,55172,2,1,People Management,3,3,3,5,2,2,13,5,8,1,2,Senior Developer,Yes,Direction,Strategy 
14181,Male,Married,Doctorate,3,3,8,81570,3,-1,People Management,3,6,0,5,2,2,17,7,11,4,2,Product Owner,Yes,Direction,Strategy 
14182,Female,Married,Graduate,2,4,9,45264,2,-1,People Management,2,5,2,4,5,1,18,3,8,2,5,Product Manager,Yes,Direction,Strategy 
14183,Male,Single,Graduate,2,5,9,76058,3,-1,Public Relations,3,4,2,4,2,1,12,4,9,3,4,Product Owner,Yes,Direction,Strategy 
14184,Female,Married,Post-Graduate,2,5,9,55262,2,-2,Product Management,3,4,0,2,2,4,13,3,9,1,4,Product Manager,Yes,Direction,Strategy 
14185,Male,Married,Graduate,2,5,12,62465,2,-1,People Management,3,1,1,4,1,1,20,5,8,3,3,Senior Developer,No,,
14186,Male,Married,Post-Graduate,4,3,7,94900,2,-2,Sales,3,6,1,2,1,2,15,6,14,2,4,VP,No,,
14187,Female,Married,Graduate,1,5,8,80746,2,0,DevOps,3,7,1,2,4,1,20,6,14,2,5,VP,No,,
14188,Male,Married,Doctorate,2,4,9,52468,2,-1,HR,2,4,0,5,1,1,8,6,8,1,4,Product Manager,No,,
14189,Male,Married,Graduate,1,3,9,64180,2,-1,Public Relations,2,6,1,3,3,3,19,3,10,2,1,Product Manager,Yes,Direction,Strategy 
14190,Male,Divorced,Graduate,4,3,16,48672,2,-2,Testing,3,1,0,4,3,4,18,4,7,4,5,Senior Developer,No,,
